CURSO;OFERTA_TOTAL;DEMANDA_TOTAL;MATRICULAS_TOTAL;OFERTAUNIV_G.PRIM;DEMANDAUNIV_G.PRIM;MATRICULASUNIV_G.PRIM;OFERTA_ISEN_G.PRIM;DEMANDA_ISEN_G.PRIM;MATRICULAS_ISEN_G.PRIM;OFERTAUMU_G.PRIM;DEMANDAUMU_G.PRIM;MATRICULASUMU_G.PRIM;ZONA _CARTAGENA;ZONA_MURCIA;ZONA_OTROS;NOTA_CORTE;CAMPAÑA_MATRICULACIONES
2022/2023;6811;21038;5876;410;848;396;100;79;78;310;769;318;66;10;2;10,348;82536
2021/2022;6750;20255;5797;420;719;390;110;71;72;310;648;318;58;8;6;10,2;153420
2020/2021;6785;19501;6142;470;772;435;110;60;57;360;712;378;52;5;;9,783;96620
2019/2020;6892;15621;6065;500;646;433;140;70;65;360;576;368;56;9;;8,961;79230
2018/2019;7034;15915;6118;574;806;491;154;67;62;420;739;429;47;11;4;8,506;68523
2017/2018;6796;15717;6129;574;839;493;154;92;73;420;747;420;57;16;;8,452;65479
2016/2017;6728;16499;6470;574;919;507;154;100;98;420;819;429;64;14;;8,09;51235
2015/2016;6743;16170;6274;530;885;512;110;101;101;420;784;422;82;8;;7,746;56758
2014/2015;6645;16172;6241;584;974;519;150;84;84;434;890;433;56;27;3;7,592;62538
2013/2014;6729;17090;6444;605;985;559;150;87;87;455;898;455;89;15;;7,256;72352
2012/2013;6832;17120;6456;605;1008;552;150;98;97;455;910;455;88;9;;7,499;64236
2011/2012;6865;17183;6465;605;948;574;150;94;91;455;854;454;113;6;1;8,425;72300
2010/2011;6905;17105;6487;605;1164;554;150;98;95;455;1066;455;92;6;1;8,215;56240
2009/2010;6645;17155;6241;605;1089;545;150;121;120;455;968;427;106;12;;7,655;46856
2008/2009;6656;17090;6444;605;1102;540;150;111;108;455;991;426;110;4;;7,562;56823
2007/2008;6850;16050;6120;605;963;535;150;108;105;455;855;414;115;6;;8,21;65362
2006/2007;6450;16172;6058;605;917;525;150;115;115;455;802;406;109;10;;7,675;52005
2005/2006;6560;16052;6025;605;930;538;150;126;120;455;804;423;108;7;;7,201;56250
